id;V;Vr;Vm;FuelR;FuelR_r;Acc;Dcc;Acc2;V_std;FuelR_std;Acc_std;Idle_p;Acc_p;Dcc_p;Cru_p;Cre_p
2;11.443140557362744;11.443140557362744;25.05654;1.0;1.0;0.07521211833280449;-0.06473328072109988;0.011749818625958834;1.8494890607696783;0.0;0.08626212678832651;0.0;0.22549019607843138;0.09803921568627451;0.13725490196078433;0.5392156862745098
26;13.861870182492307;13.861870182492307;22.09023134;1.0;1.0;0.07142143013688568;-0.05007322586057915;0.011273397097683244;2.1809671184627093;0.0;0.07459772175424384;0.0;0.08461538461538462;0.08461538461538462;0.24615384615384617;0.5846153846153846
36;13.925155324009804;13.925155324009804;25.05654;1.0;1.0;0.07017312143246184;-0.07654264881884613;0.020893880226607157;1.6287019085518006;0.0;0.11141705491449497;0.0;0.09803921568627451;0.17647058823529413;0.11764705882352941;0.6078431372549019
33;13.349763086896296;13.349763086896296;22.09023134;1.0;1.0;0.11779779263511661;-0.08241398933517415;0.014217479978133343;1.474812547186303;0.0;0.09208886452316965;0.0;0.14814814814814814;0.08148148148148149;0.13333333333333333;0.6370370370370371
0;12.62411347386087;12.62411347386087;25.05654;1.0;1.0;0.05433738384641247;-0.0662338977398807;0.011488761227303202;2.0341168981291973;0.0;0.08181265297741279;0.0;0.06956521739130433;0.12173913043478261;0.10434782608695652;0.7043478260869566
27;17.84637343162;17.84637343162;25.05654;1.0;1.0;0.06595986515104166;-0.04787850160425073;0.01812274030596132;0.9594537511247998;0.0;0.09513373949222258;0.0;0.12;0.09;0.43;0.36
27;13.375526843466666;13.375526843466666;25.05654;1.0;1.0;0.112494311005291;-0.07138961103064659;0.03186622276214794;1.387922439212967;0.0;0.1525482599941835;0.0;0.17142857142857143;0.14285714285714285;0.11428571428571428;0.5714285714285714
31;16.260435785306306;16.260435785306306;24.7230729;1.0;1.0;0.07835626218940729;-0.04912825594090886;0.010355319358359377;1.7761697146056192;0.0;0.06587362574537158;0.0;0.18018018018018017;0.08108108108108109;0.40540540540540543;0.3333333333333333
36;17.668675644645667;17.668675644645667;25.05654;1.0;1.0;0.041634448433609285;-0.0618984879826194;0.00972922188594808;1.3700400916042208;0.0;0.0562230073227889;0.0;0.05511811023622047;0.2440944881889764;0.2125984251968504;0.4881889763779528
0;14.35984971838384;14.35984971838384;20.08872157;1.0;1.0;0.0877639939841794;-0.03023627951940034;0.007639668170487059;1.6447930922009473;0.0;0.058795598164220975;0.0;0.1717171717171717;0.020202020202020204;0.010101010101010102;0.797979797979798
39;13.666509050364343;13.666509050364343;24.24448477;1.0;1.0;0.14085874595406753;-0.04848231803152255;0.013737928602874932;1.6581751885736697;0.0;0.09198559669490391;0.0;0.18604651162790697;0.10852713178294573;0.09302325581395349;0.6124031007751938
32;17.083383534064;17.083383534064;25.05654;1.0;1.0;0.10234239053587299;-0.0606335121981609;0.05197864675405745;1.4658446298105974;0.0;0.14468344826899585;0.0;0.088;0.056;0.248;0.608
27;14.252356277590001;14.252356277590001;21.93070815;1.0;1.0;0.10127938197623322;-0.04142133915370359;0.012687615221679415;2.230965524656529;0.0;0.06546418812361482;0.0;0.23;0.07;0.16;0.54
